	Row.names	Symbol	Gene.name	padj	log2FoldChange
1	ENSG00000002079	NA	NA	0.000911100094390311	1.14769061521766
2	ENSG00000254682	NA	NA	0.0014883264794237	1.1118823686443
3	ENSG00000188015	S100A3	S100 calcium binding protein A3	0.0048653113639435	1.0825482141938
4	ENSG00000140465	CYP1A1	cytochrome P450 family 1 subfamily A member 1	0.0044306620986096	0.919454232636542
5	ENSG00000186792	HYAL3	hyaluronidase 3	0.0145809190244703	0.901187429052909
6	ENSG00000274605	PCCA-DT	PCCA divergent transcript	0.0121646198561061	0.868037120855485
7	ENSG00000205336	ADGRG1	adhesion G protein-coupled receptor G1	0.000277877709745118	0.855556435412342
8	ENSG00000111424	VDR	vitamin D receptor	0.00558413990964632	0.852714060663918
9	ENSG00000234160	NA	NA	0.0300850795769987	0.800328714500343
10	ENSG00000158373	H2BC5	H2B clustered histone 5	0.017193641880538	0.78930842351418
11	ENSG00000176170	SPHK1	sphingosine kinase 1	0.000117574937692197	0.788208068476514
12	ENSG00000108821	COL1A1	collagen type I alpha 1 chain	0.0190966083858741	0.785466932578202
13	ENSG00000164379	FOXQ1	forkhead box Q1	0.000763497667630445	0.780224772354818
14	ENSG00000232098	NA	NA	0.00687888130217377	0.769002584000773
15	ENSG00000213638	ADAT3	adenosine deaminase tRNA specific 3	0.0238779662794025	0.756068765241138
16	ENSG00000169710	FASN	fatty acid synthase	1.46214479665956e-08	0.751875258458971
17	ENSG00000177283	FZD8	frizzled class receptor 8	0.0016534979593413	0.722729891941761
18	ENSG00000135414	GDF11	growth differentiation factor 11	0.00793256148437204	0.720187150270258
19	ENSG00000084636	COL16A1	collagen type XVI alpha 1 chain	0.0186392620510889	0.719062510573766
20	ENSG00000276045	ORAI1	ORAI calcium release-activated calcium modulator 1	0.00077849239104485	0.717667870263907
21	ENSG00000265688	MAFG-DT	MAFG divergent transcript	0.0342675534932224	0.715379745668578
22	ENSG00000189410	SH2D5	SH2 domain containing 5	1.7060801649358e-05	0.709867282433136
23	ENSG00000160606	TLCD1	TLC domain containing 1	0.0126949481248927	0.700671770215185
24	ENSG00000156381	ANKRD9	ankyrin repeat domain 9	0.00222169743456823	0.684316900954162
25	ENSG00000156521	TYSND1	trypsin like peroxisomal matrix peptidase 1	9.93839806587345e-05	0.678441909997116
26	ENSG00000125538	IL1B	interleukin 1 beta	0.0119575452166897	0.67437264549393
27	ENSG00000090674	MCOLN1	mucolipin 1	0.0106388553086072	0.668603448954574
28	ENSG00000116661	FBXO2	F-box protein 2	0.0236413511596476	0.665334076305996
29	ENSG00000177234	LINC01561	long intergenic non-protein coding RNA 1561	0.0361417195109165	0.664486564382565
30	ENSG00000182858	ALG12	ALG12 alpha-1,6-mannosyltransferase	0.00571406655045939	0.664087302384536
31	ENSG00000164045	CDC25A	cell division cycle 25A	0.0190673546080485	0.662955734236809
32	ENSG00000108759	KRT32	keratin 32	0.0155289064100755	0.659389069301476
33	ENSG00000023902	PLEKHO1	pleckstrin homology domain containing O1	0.00261273265493036	0.646495170044048
34	ENSG00000183783	KCTD8	potassium channel tetramerization domain containing 8	0.0270993143870081	0.64478084321127
35	ENSG00000139725	RHOF	ras homolog family member F, filopodia associated	0.0461652069173249	0.641849873110593
36	ENSG00000198816	ZNF358	zinc finger protein 358	0.00562649413193517	0.633198789867164
37	ENSG00000007376	RPUSD1	RNA pseudouridine synthase domain containing 1	0.000131498109955039	0.632068928199235
38	ENSG00000084774	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	1.74348471392961e-05	0.629488976616898
39	ENSG00000100739	BDKRB1	bradykinin receptor B1	0.00900587071124771	0.628776983114935
40	ENSG00000183688	RFLNB	refilin B	0.00184282830885243	0.612488627918676
41	ENSG00000186480	INSIG1	insulin induced gene 1	0.00687888130217377	0.611556084958779
42	ENSG00000106992	AK1	adenylate kinase 1	0.0466925901560753	0.609657530288346
43	ENSG00000258429	PDF	peptide deformylase, mitochondrial	0.0221505182586479	0.608580871889617
44	ENSG00000249992	TMEM158	transmembrane protein 158	6.58834273471132e-05	0.607555074416706
45	ENSG00000100344	PNPLA3	patatin like phospholipase domain containing 3	0.00554549922057219	0.601522818724666
46	ENSG00000182841	RRP7BP	ribosomal RNA processing 7 homolog B, pseudogene	0.0439261491826288	0.598427420026612
47	ENSG00000204386	NEU1	neuraminidase 1	0.00503196066841259	0.597610644178758
48	ENSG00000153976	HS3ST3A1	heparan sulfate-glucosamine 3-sulfotransferase 3A1	1.90461312838881e-05	0.593611738730694
49	ENSG00000132763	MMACHC	metabolism of cobalamin associated C	0.0297258013749676	0.593263352953956
50	ENSG00000137802	MAPKBP1	mitogen-activated protein kinase binding protein 1	0.00630076588348689	0.590334911675545
51	ENSG00000169683	LRRC45	leucine rich repeat containing 45	0.0326531393197086	0.588313401322928
52	ENSG00000075702	WDR62	WD repeat domain 62	0.0377375433429371	0.587468052899001
53	ENSG00000146122	DAAM2	dishevelled associated activator of morphogenesis 2	0.0205642050232619	0.583502287410423
54	ENSG00000150977	RILPL2	Rab interacting lysosomal protein like 2	0.0451233570755479	0.583261814896303
